Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status,Life_expectancy
Serbia,Rest of Europe,2007.5,7.54375,8.725,134.4819375,8.83,88.375,88.5625,25.65,94.625,93.3125,0.015625,4696.4375,7.341875,2.39375,2.425,10.225,1.0,73.64375
Seychelles,Africa,2007.5,12.06875,14.03125,162.59440625,7.318125,98.6875,98.5625,26.0375,98.5,98.5,3.5,12245.0625,0.08562499999999999,5.90625,6.3,8.15625,1.0,72.8375
Sierra Leone,Africa,2007.5,115.71875,178.725,453.04949999999997,3.58875,78.3125,60.0,22.4375,71.75,72.125,1.24,526.6875,5.9712499999999995,7.68125,7.1,2.86875,1.0,46.7
Singapore,Asia,2007.5,2.38125,3.0,63.66275,1.773125,95.875,94.8125,23.525,96.125,96.1875,0.12062500000000001,44656.625,4.73125,2.125,2.06875,10.4625,1.0,80.53125
Slovak Republic,European Union,2007.5,6.3999999999999995,7.71875,130.47078125,10.704375,98.5625,97.0,25.89375,98.4375,98.625,0.010625,12869.8125,5.38875,1.34375,1.425,11.25625,0.0,74.7875
Slovenia,European Union,2007.5,3.14375,3.8125,96.40559375,10.973125,88.0,97.25,25.90625,95.1875,95.0,0.023125,19578.3125,2.025,1.76875,1.79375,11.8125,0.0,78.44375
Solomon Islands,Oceania,2007.5,23.03125,27.45625,184.09934375,1.008125,88.5625,65.0,25.55625,87.5,90.5625,0.17,1964.375,0.501875,1.24375,1.2625,4.96875,1.0,69.9
Somalia,Africa,2007.5,98.25625000000001,161.26875,333.18512499999997,2.4999999999999998e-05,42.0,64.0,22.625,40.5,37.75,0.13,263.9375,11.27125,7.26875,7.08125,2.1,1.0,53.24375
South Africa,Africa,2007.5,40.80625,61.69375,454.71159374999996,7.313125,75.4375,53.625,26.725,75.0625,74.125,10.239375,5786.0,49.7575,9.175,11.075000000000001,9.30625,1.0,56.78125
Spain,European Union,2007.5,3.5,4.3,70.44578125,10.28,92.5,92.1875,26.1375,96.6875,96.75,0.091875,25511.6875,44.57375,0.6,0.5,9.0875,0.0,81.10625
Sri Lanka,Asia,2007.5,11.44375,14.15625,128.3856875,2.15125,93.125,93.0625,22.25,98.375,98.4375,0.01625,2700.0625,19.873125,15.325000000000001,15.36875,10.59375,1.0,74.6875
St. Lucia,Central America and Caribbean,2007.5,16.9,19.36875,153.76909375,11.503125,94.125,83.0,28.29375,93.875,92.8125,0.4,9911.8125,0.169375,4.35,4.38125,7.85625,1.0,74.475
St. Vincent and the Grenadines,Central America and Caribbean,2007.5,17.96875,20.2625,168.217125,6.3825,98.375,83.0,26.30625,97.875,98.3125,0.4,6576.0625,0.11,3.6625,3.6125,8.1125,1.0,71.50625
Suriname,South America,2007.5,22.28125,25.0875,189.63271875,4.941875,84.875,16.25,25.95625,79.8125,82.5625,0.749375,8133.375,0.515,3.5125,3.45625,7.8187500000000005,1.0,69.61875
Sweden,European Union,2007.5,2.7875,3.3875,62.07103125,6.949375,61.0625,94.6875,25.61875,98.25,98.3125,0.08,46750.8125,9.241875,1.35,1.3062500000000001,12.14375,0.0,80.99375
Switzerland,Rest of Europe,2007.5,4.1375,4.85,61.5645,10.294375,88.0,78.0625,25.00625,95.3125,94.5625,0.073125,79544.8125,7.660625,0.5375,0.39375,12.606250000000001,0.0,81.675
Syrian Arab Republic,Middle East,2007.5,19.36875,25.8125,142.978125,0.636875,73.125,73.1875,27.5125,73.8125,70.9375,0.13,1412.5,18.990625,6.45,6.25625,5.7437499999999995,1.0,72.60625
Tajikistan,Asia,2007.5,44.5,52.73125,152.35234375,0.7206250000000001,80.8125,90.375,24.94375,88.3125,89.25,0.0925,709.625,7.210625,3.80625,3.85,10.65625,1.0,66.975
Tanzania,Africa,2007.5,55.0,86.2375,354.29125,6.168125,91.0625,64.0,22.625,88.4375,89.875,3.040625,751.875,41.720625,7.425,7.35625,4.925,1.0,56.625
Thailand,Asia,2007.5,13.45,15.68125,171.15040625,6.43875,97.0,92.625,23.5625,98.3125,98.1875,0.335625,4739.25,66.173125,8.54375,8.7,7.11875,1.0,73.2
Timor-Leste,Oceania,2007.5,60.106249999999996,73.58125,192.32203125,0.32575,75.5,64.0,20.5,65.5,67.0,0.06625,1082.125,1.04125,10.525,11.69375,3.75625,1.0,64.94375
Togo,Africa,2007.5,62.5625,96.5875,311.2911875,1.28875,82.375,64.0,22.80625,75.625,77.125,1.56375,500.25,6.05,7.8687499999999995,7.7375,4.3,1.0,56.2625
Tonga,Oceania,2007.5,12.1875,14.1625,146.21415625,1.166875,86.75,97.625,31.6875,97.375,84.9375,0.17,3954.0625,0.1,0.1,0.1,10.025,1.0,69.99375
Trinidad and Tobago,Central America and Caribbean,2007.5,21.36875,24.0125,181.46771875,5.66625,89.125,81.4375,26.725,91.625,91.8125,0.4,16137.9375,1.31375,6.1375,6.50625,10.23125,1.0,71.28125
Tunisia,Africa,2007.5,18.05,21.20625,101.3611875,1.285,96.75,97.8125,25.69375,97.6875,97.6875,0.030625,3585.625,10.394375,6.40625,6.3375,6.1125,1.0,74.6
Turkiye,Middle East,2007.5,19.4625,23.1375,123.14450000000001,1.465,87.0625,65.0,27.26875,90.9375,90.875,0.08,8298.875,70.360625,5.0125,4.85,6.50625,1.0,73.41875
Turkmenistan,Asia,2007.5,42.725,50.26875,210.7448125,2.680625,97.125,96.1875,25.525,95.5625,96.375,0.08,3839.625,4.960625,3.3375,3.3625,9.875,1.0,65.78750000000001
Uganda,Africa,2007.5,59.3,94.675,406.42153125,10.125,68.375,64.0,21.7625,68.6875,69.375,3.4175,693.4375,30.305625,6.2625,6.25625,4.875,1.0,54.2125
Ukraine,Rest of Europe,2007.5,11.46875,13.3375,240.373375,7.678125,62.6875,78.9375,26.125,81.4375,77.875,0.3725,2156.8125,46.69375,2.575,2.675,11.05625,1.0,69.225
United Arab Emirates,Middle East,2007.5,7.95625,9.2875,80.41065625,1.8925,93.875,94.125,27.7625,95.0625,94.625,0.13,45530.875,6.441875,5.1812499999999995,4.96875,9.46875,1.0,75.84375
United Kingdom,Rest of Europe,2007.5,4.74375,5.55625,77.52553125,10.508125,88.0,86.0,26.79375,92.875,92.875,0.08,42705.5,61.70375,0.75,0.50625,12.4875,0.0,79.6125
United States,North America,2007.5,6.475,7.63125,109.06359375,8.595625,91.5,86.0,28.26875,92.25,95.125,0.128125,52662.9375,302.103125,0.73125,0.60625,13.0125,0.0,77.9
Uruguay,South America,2007.5,11.00625,12.68125,114.9510625,6.2943750000000005,94.3125,92.5625,26.5,94.25,94.1875,0.210625,12007.625,3.35,1.6,1.54375,8.25625,1.0,76.20625
Uzbekistan,Asia,2007.5,32.25625,37.31875,167.89690625,2.22625,98.375,83.5625,25.7,98.5625,98.4375,0.10875000000000001,1896.0,27.555,3.14375,3.175,10.2625,1.0,69.03750000000001
Vanuatu,Oceania,2007.5,23.95,28.618750000000002,153.71478125,1.159375,63.5625,65.0,25.8,71.5,66.9375,0.17,2735.625,0.223125,1.56875,1.49375,6.61875,1.0,68.7125
"Venezuela, RB",South America,2007.5,15.85,18.5,151.05615625000002,7.458125,72.4375,83.0,26.49375,79.1875,75.25,0.4,9294.875,27.392500000000002,1.6500000000000001,1.5625,8.2375,1.0,72.79375
Vietnam,Asia,2007.5,19.5,24.474999999999998,133.05440625,1.7425,87.4375,65.0,20.7625,94.9375,91.75,0.196875,1807.875,86.0325,14.925,15.625,6.9,1.0,74.33125
"Yemen, Rep.",Middle East,2007.5,52.44375,69.575,239.65393749999998,0.047,60.1875,95.0,23.025,71.625,72.625,0.025,2406.8125,21.730625,13.83125,13.75,2.225,1.0,64.1625
Zambia,Africa,2007.5,60.58125,99.20625,452.76121875,2.903125,82.875,39.1875,22.0,82.9375,83.8125,6.868125,1059.875,12.8625,6.88125,6.7625,6.4375,1.0,52.33125
Zimbabwe,Africa,2007.5,50.16875,85.325,572.9743125,2.900625,79.5625,64.0,23.54375,79.5625,79.125,8.00625,1290.625,12.53875,7.0125,6.9875,7.2125,1.0,48.6625
